time_a,time_b,indice_forca_a,indice_forca_b,gols_esperados_a,gols_esperados_b,sede_a,sede_b,prob_vitoria_a,prob_empate,prob_vitoria_b,placar_provavel,prob_placar,top5_placares,gerado_em,grupo
Mexico,Africa do Sul,65.0,34.0,1.9938,0.9062,True,False,62.5,21.0,16.4,1 x 0,11.0,"[{'placar': '1 x 0', 'probabilidade': 11.0}, {'placar': '2 x 0', 'probabilidade': 10.9}, {'placar': '1 x 1', 'probabilidade': 9.9}, {'placar': '2 x 1', 'probabilidade': 9.9}, {'placar': '3 x 0', 'probabilidade': 7.3}]",2026-05-11 08:32:34,A
Mexico,Coreia do Sul,65.0,54.8,1.6468,1.208,True,False,47.6,24.4,28.1,1 x 1,11.5,"[{'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '1 x 0', 'probabilidade': 9.5}, {'placar': '2 x 1', 'probabilidade': 9.4}, {'placar': '2 x 0', 'probabilidade': 7.8}, {'placar': '0 x 1', 'probabilidade': 7.0}]",2026-05-11 08:32:34,A
Mexico,Republica Tcheca,65.0,55.9,1.6322,1.2207,True,False,46.9,24.5,28.6,1 x 1,11.5,"[{'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '1 x 0', 'probabilidade': 9.4}, {'placar': '2 x 1', 'probabilidade': 9.4}, {'placar': '2 x 0', 'probabilidade': 7.7}, {'placar': '0 x 1', 'probabilidade': 7.0}]",2026-05-11 08:32:34,A
Africa do Sul,Coreia do Sul,34.0,54.8,1.01,1.63,False,False,23.5,24.7,51.8,1 x 1,11.7,"[{'placar': '1 x 1', 'probabilidade': 11.7}, {'placar': '0 x 1', 'probabilidade': 11.6}, {'placar': '1 x 2', 'probabilidade': 9.6}, {'placar': '0 x 2', 'probabilidade': 9.5}, {'placar': '1 x 0', 'probabilidade': 7.2}]",2026-05-11 08:32:34,A
Africa do Sul,Republica Tcheca,34.0,55.9,0.9979,1.6421,False,False,23.0,24.6,52.4,0 x 1,11.7,"[{'placar': '0 x 1', 'probabilidade': 11.7}, {'placar': '1 x 1', 'probabilidade': 11.7}, {'placar': '0 x 2', 'probabilidade': 9.6}, {'placar': '1 x 2', 'probabilidade': 9.6}, {'placar': '0 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,A
Coreia do Sul,Republica Tcheca,54.8,55.9,1.3072,1.3328,False,False,36.3,26.2,37.5,1 x 1,12.4,"[{'placar': '1 x 1', 'probabilidade': 12.4}, {'placar': '0 x 1', 'probabilidade': 9.5}, {'placar': '1 x 0', 'probabilidade': 9.3}, {'placar': '1 x 2', 'probabilidade': 8.3}, {'placar': '2 x 1', 'probabilidade': 8.1}]",2026-05-11 08:32:34,A
Canada,Bosnia e Herzegovina,44.9,53.7,1.3823,1.438,True,False,36.1,25.2,38.7,1 x 1,11.8,"[{'placar': '1 x 1', 'probabilidade': 11.8}, {'placar': '0 x 1', 'probabilidade': 8.6}, {'placar': '1 x 2', 'probabilidade': 8.5}, {'placar': '1 x 0', 'probabilidade': 8.2}, {'placar': '2 x 1', 'probabilidade': 8.2}]",2026-05-11 08:32:34,B
Canada,Catar,44.9,38.2,1.6399,1.214,True,False,47.3,24.4,28.3,1 x 1,11.5,"[{'placar': '1 x 1', 'probabilidade': 11.5}, {'placar': '1 x 0', 'probabilidade': 9.4}, {'placar': '2 x 1', 'probabilidade': 9.4}, {'placar': '2 x 0', 'probabilidade': 7.7}, {'placar': '0 x 1', 'probabilidade': 7.0}]",2026-05-11 08:32:34,B
Canada,Suica,44.9,73.5,1.1513,1.6388,True,False,26.8,24.5,48.7,1 x 1,11.6,"[{'placar': '1 x 1', 'probabilidade': 11.6}, {'placar': '0 x 1', 'probabilidade': 10.1}, {'placar': '1 x 2', 'probabilidade': 9.5}, {'placar': '0 x 2', 'probabilidade': 8.2}, {'placar': '1 x 0', 'probabilidade': 7.1}]",2026-05-11 08:32:34,B
Bosnia e Herzegovina,Catar,53.7,38.2,1.5424,1.0976,False,False,47.5,25.4,27.1,1 x 1,12.1,"[{'placar': '1 x 1', 'probabilidade': 12.1}, {'placar': '1 x 0', 'probabilidade': 11.0}, {'placar': '2 x 1', 'probabilidade': 9.3}, {'placar': '2 x 0', 'probabilidade': 8.5}, {'placar': '0 x 1', 'probabilidade': 7.8}]",2026-05-11 08:32:34,B
