selecao,prob_classificar,prob_1o_lugar,grupo
Mexico,74.8,46.7,A
Coreia do Sul,51.1,23.2,A
Republica Tcheca,51.1,22.3,A
Africa do Sul,23.1,7.8,A
Suica,69.2,41.2,B
Bosnia e Herzegovina,52.5,25.2,B
Canada,49.5,22.5,B
Catar,28.8,11.1,B
Brasil,73.4,44.0,C
Marrocos,66.0,32.6,C
Escocia,50.6,21.1,C
Haiti,10.0,2.4,C
Estados Unidos,65.3,38.7,D
Turquia,52.2,26.2,D
Paraguai,44.5,19.7,D
Australia,37.9,15.4,D
Alemanha,85.9,53.4,E
Equador,78.1,36.7,E
Costa do Marfim,36.0,9.9,E
Curacao,0.0,0.0,E
Holanda,75.2,47.5,F
Suecia,53.2,23.8,F
Japao,52.5,23.0,F
Tunisia,19.1,5.7,F
Belgica,89.9,64.7,G
Ira,64.7,23.4,G
Egito,35.8,9.9,G
Nova Zelandia,9.6,1.9,G
Espanha,84.2,54.5,H
Uruguai,70.1,32.5,H
Arabia Saudita,23.4,6.8,H
Cabo Verde,22.2,6.2,H
Franca,77.8,51.3,I
Senegal,52.5,21.7,I
Noruega,49.9,20.8,I
Iraque,19.8,6.2,I
Argentina,83.9,56.4,J
Austria,66.4,29.0,J
Jordania,34.9,11.0,J
Algeria,14.8,3.6,J
Portugal,80.4,50.4,K
Colombia,69.9,33.8,K
Uzbequistao,34.0,11.9,K
RD Congo,15.7,3.9,K
Inglaterra,84.2,49.4,L
Croacia,83.9,43.4,L
Gana,17.3,4.1,L
Panama,14.6,3.1,L
