grupo,selecao
A,Mexico
A,Africa do Sul
A,Coreia do Sul
A,Republica Tcheca
B,Canada
B,Bosnia e Herzegovina
B,Catar
B,Suica
C,Brasil
C,Marrocos
C,Escocia
C,Haiti
D,Estados Unidos
D,Paraguai
D,Australia
D,Turquia
E,Alemanha
E,Curacao
E,Costa do Marfim
E,Equador
F,Holanda
F,Japao
F,Suecia
F,Tunisia
G,Belgica
G,Egito
G,Ira
G,Nova Zelandia
H,Espanha
H,Cabo Verde
H,Arabia Saudita
H,Uruguai
I,Franca
I,Senegal
I,Iraque
I,Noruega
J,Argentina
J,Algeria
J,Austria
J,Jordania
K,Portugal
K,RD Congo
K,Uzbequistao
K,Colombia
L,Inglaterra
L,Croacia
L,Gana
L,Panama
